time,mmsi,stat,rot,sog,pos_acc,x,y,cog,truehead,nm,tp,imo,cs,length,width,draught,eta,dest,iso3,dwt
2018/09/13 23:58:00,412018030,5,0,117,0,117.969376,38.939949,1174,112,,0,0,,0,0,0,0,477952@TJ,,3306
2018/09/13 23:59:34,412408090,1,0,3,0,118.080269,38.970917,3522,250,MING ZHOU 20,70,8316601,BLCW,224,32,0,0,607710@QINHUANGDAO,CHN,64944
2018/09/13 23:58:35,412513000,1,0,1,0,118.086746,38.990509,487,275,XIN XIANG RUI,70,9032707,BINK,157,25,0,0,588766@CAOFEIDIAN,CHN,22154
2018/09/13 23:57:06,412704420,1,250,1,0,118.009979,38.956467,0,267,NAN HUI 77,70,0,BVMN5,153,21,0,0,565824@TIAN JIN,,3306
2018/09/13 23:59:58,413018020,0,128,0,0,118.009438,38.956570,2401,511,,0,0,,0,0,0,0,471872@TJ ONG KOU,CHN,9
2018/09/13 23:58:57,413301000,1,0,2,0,118.096634,38.969101,3440,256,SHI DAI 1,70,9352949,BPDT,225,33,0,0,587968@CAOFEIDIAN,CHN,76611
2018/09/13 23:59:21,413351050,1,0,2,0,118.033401,38.969486,3527,267,,0,0,,0,0,0,0,610880@CHEN JIA GANG,,3306
2018/09/13 23:58:22,413359630,1,128,0,0,117.972412,38.981422,764,511,JIN CHANG XIN,70,0,BHUY2,99,16,0,0,580480@BEI HAI,CHN,6735
2018/09/13 23:59:38,413370940,1,0,1,0,118.018417,38.962879,2940,220,AN JI 5 HAO,70,0,BIOS,115,20,0,0,588382@TIAN JIN,CHN,3994
2018/09/13 23:59:47,413375000,1,0,2,0,118.070015,38.960800,40,266,YUE DIAN 6,70,9086045,BRWO,225,32,0,0,0@,CHN,75300
2018/09/13 23:57:08,413376940,1,128,1,0,118.046333,38.953335,3430,266,XIN OU 11,70,0,BIAT2,147,21,0,0,598976@TIAN JIN,,3306
2018/09/13 23:58:29,413379000,1,0,1,0,117.967834,38.963829,3544,256,,0,0,,0,0,0,0,596416@TIAN JIN,CHN,850
2018/09/13 23:58:43,413380000,1,0,1,0,117.973045,38.971355,3290,263,,0,0,,0,0,0,0,610816@TIANJING BEIMAODI,CHN,850
2018/09/13 23:58:45,413438430,1,0,3,0,118.049812,38.968067,3286,236,,0,0,,0,0,0,0,593024@ZHANGJIAGANG,CHN,47290
